,COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
55,Denmark,Europe,3148183,54066.824,6419,110.24,13204905,226.8,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
56,Djibouti,Eastern Mediterranean,15690,1588.057,189,19.13,311823,31.561,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
57,Dominica,Americas,14638,20333.097,67,93.067,66733,92.696,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
58,Dominican Republic,Americas,592578,5462.601,4382,40.395,15555792,143.399,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",3.0
59,Ecuador,Americas,890852,5049.307,35659,202.114,35268627,199.901,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4.0
60,Egypt,Eastern Mediterranean,514008,502.283,24720,24.156,86132442,84.168,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
61,El Salvador,Americas,164134,2530.509,4135,63.751,10785039,166.277,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
62,Equatorial Guinea,Africa,15945,1136.505,183,13.044,479991,34.212,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2.0
63,Estonia,Europe,578494,43529.304,2586,194.586,2073453,156.0,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
64,Eswatini,Africa,72904,6283.939,1410,121.535,535393,46.148,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3.0
65,Ethiopia,Africa,479484,417.075,7517,6.539,29419678,25.59,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",4.0
66,Falkland Islands (Malvinas),Americas,1733,49755.958,0,0.0,4407,126.529,AstraZeneca - AZD1222,1.0
67,Faroe Islands,Europe,34658,70926.021,28,57.301,103894,212.614,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0
68,Fiji,Western Pacific,65217,7275.07,865,96.492,1469702,163.948,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3.0
69,Finland,Europe,1114573,20172.201,4714,85.317,11833552,214.2,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
70,France,Europe,29009234,44602.583,145564,223.809,148063245,219.9,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
71,French Guiana,Americas,84507,28293.302,399,133.587,231220,77.413,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2.0
72,French Polynesia,Western Pacific,73124,26031.299,649,231.036,344607,122.676,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0
73,Gabon,Africa,47711,2143.607,304,13.658,566886,25.47,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3.0
74,Gambia,Africa,12002,496.634,365,15.103,720000,29.793,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
75,Georgia,Europe,1658755,41581.405,16838,422.092,2685459,67.3,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4.0
76,Germany,Europe,27007429,32473.845,140026,168.368,179952194,216.4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
77,Ghana,Africa,161935,521.145,1445,4.65,16203630,52.147,"Gamaleya - Gam-Covid-Vac,SII - Covishield",2.0
78,Gibraltar,Europe,18806,55819.061,101,299.783,119855,355.748,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",2.0
79,Greece,Europe,3508610,32733.953,30033,280.196,21094849,196.8,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
80,Greenland,Europe,11971,21086.099,21,36.99,79745,140.465,Moderna - mRNA-1273,1.0
81,Grenada,Americas,18115,16098.931,231,205.291,88728,78.853,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
82,Guadeloupe,Americas,164325,41068.519,950,237.426,377846,94.432,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",6.0
83,Guam,Western Pacific,42029,24902.385,370,219.227,349073,206.827,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
84,Guatemala,Americas,871263,4863.161,18293,102.107,17558698,98.008,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
85,Guernsey,Europe,26131,40533.288,47,72.904,156415,242.624,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3.0
86,Guinea,Africa,36817,280.344,442,3.366,6127699,46.66,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
87,Guinea-Bissau,Africa,8306,422.053,171,8.689,562717,28.593,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
88,Guyana,Americas,65926,8381.645,1240,157.65,909924,115.685,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0
89,Haiti,Americas,31054,272.343,837,7.34,285651,2.505,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",2.0
90,Honduras,Americas,425655,4297.546,10902,110.07,14065533,142.01,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
91,Hungary,Europe,1923122,19684.906,46594,476.932,16398692,167.9,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0
92,Iceland,Europe,190643,52355.177,153,42.017,803561,220.7,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
93,India,South-East Asia,43245517,3133.723,524792,38.028,1962351204,142.199,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",8.0
94,Indonesia,South-East Asia,6063251,2216.719,156670,57.278,415385585,151.865,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0
95,Iran (Islamic Republic of),Eastern Mediterranean,7234042,8612.678,141353,168.292,149357848,177.822,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac",12.0
96,Iraq,Eastern Mediterranean,2330393,5793.756,25224,62.711,18353783,45.631,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
97,Ireland,Europe,1570519,31635.371,7416,149.382,11114500,223.9,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
98,Isle of Man,Europe,33821,39774.438,107,125.835,189681,223.07,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3.0
99,Israel,Europe,4201869,48545.423,10882,125.723,15018677,173.5,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
100,Italy,Europe,17703887,29683.845,167505,280.853,136206350,228.4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
101,Jamaica,Americas,140754,4753.329,3091,104.385,1442890,48.727,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
102,Japan,Western Pacific,9075966,7176.012,30935,24.459,279402397,220.913,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",4.0
103,Jersey,Europe,51132,47434.042,129,119.67,234978,217.984,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3.0
104,Jordan,Eastern Mediterranean,1697673,16638.741,14068,137.879,9951844,97.537,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
105,Kazakhstan,Europe,1395085,7429.87,19017,101.28,26084936,138.9,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",5.0
106,Kenya,Africa,327145,608.401,5651,10.509,18367309,34.158,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
107,Kiribati,Western Pacific,3215,2691.525,13,10.883,151235,126.611,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2.0
108,Kuwait,Eastern Mediterranean,637061,14917.467,2555,59.828,8043969,188.358,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
109,Kyrgyzstan,Europe,200993,3080.734,2991,45.845,2850862,43.7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",6.0
110,Lao People's Democratic Republic,Western Pacific,210164,2888.63,757,10.405,11130131,152.98,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
111,Latvia,Europe,830977,43559.673,5841,306.184,2826513,148.2,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
112,Lebanon,Eastern Mediterranean,1101109,16132.413,10445,153.03,5634462,82.551,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
113,Lesotho,Africa,33746,1575.26,699,32.629,948906,44.295,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
114,Liberia,Africa,7460,147.498,294,5.813,1996703,39.479,SII - Covishield,1.0
115,Libya,Eastern Mediterranean,502076,7306.865,6430,93.578,3514582,51.149,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
116,Liechtenstein,Europe,17619,45471.908,84,216.791,71104,183.5,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
117,Lithuania,Europe,1064538,38099.632,9158,327.763,4472293,160.1,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
118,Luxembourg,Europe,253318,40459.154,1082,172.814,1264619,202.0,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
119,Madagascar,Africa,64685,233.596,1396,5.041,2369775,8.558,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
120,Malawi,Africa,86107,450.116,2642,13.811,2166402,11.325,"Janssen - Ad26.COV 2-S,SII - Covishield",2.0
121,Malaysia,Western Pacific,4530312,13997.133,35720,110.363,70973991,219.286,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",8.0
122,Maldives,South-East Asia,179979,33295.902,299,55.315,944563,174.743,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
123,Mali,Africa,31127,153.707,736,3.634,2308245,11.398,SII - Covishield,1.0
124,Malta,Europe,96490,18751.798,728,141.479,1240419,241.1,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
125,Marshall Islands,Western Pacific,18,30.408,0,0.0,67461,113.966,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
126,Martinique,Americas,180883,48201.404,950,253.154,384386,102.431,Pfizer BioNTech - Comirnaty,1.0
127,Mauritania,Africa,59247,1274.223,982,21.12,2845889,61.206,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
128,Mauritius,Africa,227442,17883.922,1000,78.631,2551638,200.637,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",3.0
129,Mexico,Americas,5825532,4518.272,325205,252.228,208630697,161.814,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0
130,Micronesia (Federated States of),Western Pacific,34,29.559,0,0.0,128183,111.441,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
131,Monaco,Europe,12545,31966.67,57,145.245,58294,148.5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",6.0
132,Mongolia,Western Pacific,926282,28255.035,2115,64.515,5629336,171.716,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
133,Montenegro,Europe,238037,37900.239,2722,433.397,524984,83.6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
134,Montserrat,Americas,1012,20244.049,8,160.032,4255,85.117,AstraZeneca - Vaxzevria,1.0
135,Morocco,Eastern Mediterranean,1177842,3191.071,16083,43.573,54710937,148.226,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
136,Mozambique,Africa,226481,724.613,2206,7.058,31616078,101.154,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
137,Myanmar,South-East Asia,613460,1127.481,19434,35.718,59453155,109.269,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
138,Namibia,Africa,165507,6513.703,4049,159.353,825518,32.489,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
139,Nauru,Western Pacific,3,27.691,0,0.0,22976,212.073,"AstraZeneca - Vaxzevria,SII - Covishield",2.0
140,Nepal,South-East Asia,979297,3361.03,11952,41.02,47141797,161.795,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",8.0
141,Netherlands,Europe,8110818,46593.585,22336,128.312,35332748,203.0,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
142,New Caledonia,Western Pacific,63002,22067.405,313,109.633,460985,161.467,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0
143,New Zealand,Western Pacific,1248298,25886.306,1295,26.855,11090222,229.981,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",4.0
144,Nicaragua,Americas,14619,220.679,241,3.638,10760706,162.437,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",9.0
145,Niger,Africa,9031,37.308,310,1.281,2703493,11.168,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
146,Nigeria,Africa,256352,124.358,3144,1.525,46391592,22.505,SII - Covishield,1.0
147,Niue,Western Pacific,9,556.242,0,0.0,4161,257.169,Pfizer BioNTech - Comirnaty,1.0
148,North Macedonia,Europe,312673,15007.968,9316,447.158,1848954,88.7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6.0
149,Northern Mariana Islands (Commonwealth of the),Western Pacific,11482,19948.92,34,59.072,111665,194.008,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
150,Norway,Europe,1437344,26778.25,3210,59.803,11318644,210.9,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
151,Oman,Eastern Mediterranean,389758,7632.398,4260,83.421,7090453,138.848,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
152,Pakistan,Eastern Mediterranean,1531327,693.246,30381,13.754,256289705,116.025,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
153,Palau,Western Pacific,5165,28548.53,6,33.164,47146,260.59,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
154,Panama,Americas,892455,20683.736,8307,192.525,8242621,191.033,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
155,Papua New Guinea,Western Pacific,44675,499.328,658,7.354,452777,5.061,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",4.0
156,Paraguay,Americas,652044,9141.823,18932,265.431,8798904,123.363,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",8.0
157,Peru,Americas,3591816,10893.582,213338,647.031,75444116,228.814,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
158,Philippines,Western Pacific,3693865,3370.897,60461,55.175,150995394,137.793,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",11.0
