,COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
188,Somalia,Eastern Mediterranean,26675,167.839,1361,8.563,3724063,23.432,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
189,South Africa,Africa,3979126,6709.179,101509,171.154,36240713,61.105,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0
190,South Sudan,Africa,17659,157.758,138,1.233,1059464,9.465,"Janssen - Ad26.COV 2-S,SII - Covishield",2.0
191,Spain,Europe,12515127,26440.811,107239,226.565,101671001,214.8,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4.0
192,Sri Lanka,South-East Asia,663965,3100.72,16519,77.144,39576548,184.823,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
193,Sudan,Eastern Mediterranean,62489,142.509,4950,11.289,9710092,22.144,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
194,Suriname,Americas,80673,13751.892,1352,230.468,554588,94.538,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
195,Sweden,Europe,2510930,24312.838,19049,184.448,21818451,211.3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",5.0
196,Switzerland,Europe,3684276,42570.059,13273,153.363,15535912,179.5,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
197,Syrian Arab Republic,Eastern Mediterranean,55908,319.462,3150,17.999,3870173,22.114,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
198,Tajikistan,Europe,17786,186.482,125,1.311,12504152,131.1,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
199,Thailand,South-East Asia,4490760,6433.756,30368,43.507,137385704,196.828,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac",8.0
200,The United Kingdom,Europe,22422615,33029.805,179363,264.212,143183637,210.9,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
201,Timor-Leste,South-East Asia,22944,1740.232,133,10.088,1599092,121.286,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4.0
202,Togo,Africa,37196,449.296,273,3.298,3290821,39.75,SII - Covishield,1.0
203,Tokelau,Western Pacific,0,0.0,0,0.0,3538,262.074,Pfizer BioNTech - Comirnaty,1.0
204,Tonga,Western Pacific,11909,11267.326,12,11.353,261560,247.467,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
205,Trinidad and Tobago,Americas,164829,11777.807,3965,283.318,1564019,111.757,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",5.0
206,Tunisia,Eastern Mediterranean,1044426,8837.124,28655,242.456,14856958,125.708,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",10.0
207,Turkey,Europe,15085742,17887.016,98996,117.379,147720907,175.2,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",3.0
208,Turkmenistan,Europe,0,0.0,0,0.0,7140000,118.4,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",7.0
209,Turks and Caicos Islands,Americas,6160,15909.913,36,92.98,69465,179.413,Pfizer BioNTech - Comirnaty,1.0
210,Tuvalu,Western Pacific,3,25.441,0,0.0,12528,106.242,AstraZeneca - Vaxzevria,1.0
211,Uganda,Africa,165251,361.275,3605,7.881,21268120,46.497,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
212,Ukraine,Europe,5014929,11466.952,108605,248.332,31668577,72.4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",6.0
213,United Arab Emirates,Eastern Mediterranean,920171,9303.676,2305,23.305,24909327,251.854,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
214,United Republic of Tanzania,Africa,35159,58.859,840,1.406,7967468,13.338,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",3.0
215,United States of America,Americas,84708007,25591.338,1001895,302.685,579958258,175.213,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
216,Uruguay,Americas,943877,27171.858,7290,209.861,8438481,242.923,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3.0
217,Uzbekistan,Europe,239319,715.043,1637,4.891,52392744,156.5,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",7.0
218,Vanuatu,Western Pacific,10695,3482.069,14,4.558,242178,78.848,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",3.0
219,Venezuela (Bolivarian Republic of),Americas,524321,1843.867,5724,20.129,37860994,133.145,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",6.0
220,Viet Nam,Western Pacific,10733285,11026.753,43083,44.261,221658034,227.719,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",6.0
221,Wallis and Futuna,Western Pacific,454,4036.991,7,62.244,16426,146.061,Moderna - Spikevax,1.0
222,Yemen,Eastern Mediterranean,11822,39.637,2149,7.205,838621,2.812,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
223,Zambia,Africa,323337,1758.8,3989,21.698,3750417,20.4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3.0
224,Zimbabwe,Africa,254155,1709.993,5521,37.146,10796053,72.637,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",4.0
